song,source,model,OPS,TPS,IPS,APS
15,bass,htdemucs,15.9363436310125,57.3972332634497,50.8719371876954,49.4340788767029
15,bass,sahtdemucs,18.0839970112953,58.7212461268091,50.3560352597556,50.1589954269035
15,drums,htdemucs,7.72999554209315,98.4328103854127,1.76747889853839,78.6097605498874
15,drums,sahtdemucs,7.68656135038564,98.5862824922836,1.74201314660701,77.6506867895854
15,other,htdemucs,8.01070663582293,92.7679212219006,1.97242874049643,86.7383675214261
15,other,sahtdemucs,8.03871867400265,92.7679212219006,1.99833779017132,86.7383675214261
15,vocals,htdemucs,8.21427365468422,96.7384401746208,2.20252238031574,83.5131325661477
15,vocals,sahtdemucs,8.21798999761905,97.8068628491011,2.20795041385922,81.2052435802846
16,bass,htdemucs,30.6228680344889,29.9229292114841,61.9994859682921,31.4186666432723
16,bass,sahtdemucs,32.565207360559,28.2575657624866,64.3990143669229,31.4218299242539
16,drums,htdemucs,8.99314646842742,93.7557777055393,8.65190418505521,12.8553442236541
16,drums,sahtdemucs,9.14213207651592,97.6980445662829,5.77657041854913,8.13805733446722
16,other,htdemucs,11.5995642284146,63.8949872254573,16.2379992576781,65.7044319054326
16,other,sahtdemucs,11.3892119834622,65.2651336339823,14.4518883984741,67.976865677485
16,vocals,htdemucs,9.74360159499044,90.3291358812498,11.5284451393222,49.4909710633789
16,vocals,sahtdemucs,9.86894775427155,93.9775827293834,8.76584945731809,52.1409492897267
17,bass,htdemucs,18.5173623790639,40.8445806961343,35.6287498483604,9.0296270064623
17,bass,sahtdemucs,18.9125301802309,57.2539592290994,32.4391383555196,17.0657099395537
17,drums,htdemucs,9.06873816338417,89.0859180630217,12.1632882953134,31.4979180413738
17,drums,sahtdemucs,8.59449918664238,88.862227798962,11.976665321474,30.3614843111941
17,other,htdemucs,10.9820457862299,68.4293329094769,11.6141232701081,71.690359420445
17,other,sahtdemucs,10.3716423705553,74.9840869464698,8.07636352402464,76.7883434520037
17,vocals,htdemucs,8.203170442244,99.0701273160015,2.18667163007715,72.613772626886
17,vocals,sahtdemucs,8.23062457542895,99.0997319245279,2.22689401930499,72.1277226260345
18,bass,htdemucs,22.2614867243229,39.5004733832449,54.8242367469265,36.5494963756112
18,bass,sahtdemucs,23.5803908686988,39.1285047497612,57.4555265342861,38.1172709214418
18,drums,htdemucs,8.17872022865621,98.8334444140039,2.15354661585816,75.5971170330121
18,drums,sahtdemucs,8.11592819277139,99.0139822284892,2.07774290158951,73.4530919236958
18,other,htdemucs,7.84430978391569,92.7679212219006,1.84125051689164,86.7383675214261
18,other,sahtdemucs,7.96858681955218,92.7679212219006,1.93584863952126,86.7383675214261
18,vocals,htdemucs,7.8853143391345,96.3598988448056,1.87054817645273,84.047927451463
18,vocals,sahtdemucs,7.95463796386224,96.5012493060006,1.92430176641407,83.8593413810306
19,bass,htdemucs,16.3985303299196,33.9623473173541,44.7188713376332,19.298042876909
19,bass,sahtdemucs,17.3266621098765,34.5275270282003,46.6233946191848,22.3163090301998
19,drums,htdemucs,7.22340566111203,98.8441922411515,3.06320264838744,41.7316963507029
19,drums,sahtdemucs,7.10707076052909,98.5880131027215,3.25986335726142,45.1114526141997
19,other,htdemucs,10.2543666042406,74.2878037016496,8.23401627750649,76.3322661898695
19,other,sahtdemucs,9.72364907018929,81.594703018713,5.70359542501092,80.6322877132611
19,vocals,htdemucs,7.97105244265664,98.6038780343687,1.93791767212727,77.5278840402943
19,vocals,sahtdemucs,7.95009434068596,98.5448780842287,1.9205972671949,77.9284069436922
20,bass,htdemucs,8.52579628407311,67.2636342955252,43.0348454834028,49.2638563582333
20,bass,sahtdemucs,8.54047018978691,67.2395323384311,43.6871119377938,48.8735519659145
